"","VTD","D","G","L","R","W","winner","winningvotes","totalvotes","winningpercent","dpercent","gpercent","lpercent","rpercent","wpercent"
"1315","1206",486,17,83,1116,14,"R",1116,1702,0.66,0.29,0.01,0.05,0.66,0.01
"1316","1207",756,12,48,659,16,"D",756,1475,0.51,0.51,0.01,0.03,0.45,0.01
"1317","1208",834,14,97,1947,43,"R",1947,2892,0.67,0.29,0,0.03,0.67,0.01
"1318","1211",1010,6,12,38,1,"D",1010,1066,0.95,0.95,0.01,0.01,0.04,0
"1319","1227",1684,26,62,693,10,"D",1684,2465,0.68,0.68,0.01,0.03,0.28,0
"1320","1236",199,4,11,158,1,"D",199,372,0.53,0.53,0.01,0.03,0.42,0
"1321","1237",234,2,6,115,0,"D",234,357,0.66,0.66,0.01,0.02,0.32,0
"1322","1238",958,15,50,577,9,"D",958,1600,0.6,0.6,0.01,0.03,0.36,0.01
"1323","1241",82,0,5,60,6,"D",82,147,0.56,0.56,0,0.03,0.41,0.04
"1324","1244",29,0,1,74,0,"R",74,104,0.71,0.28,0,0.01,0.71,0
"1325","1251",1478,15,43,356,4,"D",1478,1892,0.78,0.78,0.01,0.02,0.19,0
"1326","1255",1249,19,49,616,18,"D",1249,1933,0.65,0.65,0.01,0.03,0.32,0.01
"1327","1257",566,11,21,308,3,"D",566,906,0.62,0.62,0.01,0.02,0.34,0
"1328","1264",458,11,48,623,13,"R",623,1140,0.55,0.4,0.01,0.04,0.55,0.01
"1329","1265",769,13,53,515,6,"D",769,1350,0.57,0.57,0.01,0.04,0.38,0
"1330","1270",148,2,11,178,1,"R",178,339,0.53,0.44,0.01,0.03,0.53,0
"1331","1271",778,26,92,2131,21,"R",2131,3027,0.7,0.26,0.01,0.03,0.7,0.01
"1332","1273",647,12,41,379,10,"D",647,1079,0.6,0.6,0.01,0.04,0.35,0.01
"1333","1277A",430,3,37,450,6,"R",450,920,0.49,0.47,0,0.04,0.49,0.01
"1334","1278",981,5,20,228,1,"D",981,1234,0.79,0.79,0,0.02,0.18,0
"1335","1279",898,18,34,326,3,"D",898,1276,0.7,0.7,0.01,0.03,0.26,0
"1336","1291",1098,2,16,53,0,"D",1098,1169,0.94,0.94,0,0.01,0.05,0
"1337","1292",671,5,28,203,3,"D",671,907,0.74,0.74,0.01,0.03,0.22,0
"1338","1293",585,8,10,101,0,"D",585,704,0.83,0.83,0.01,0.01,0.14,0
"1339","1294",860,19,81,1630,22,"R",1630,2590,0.63,0.33,0.01,0.03,0.63,0.01
"1340","1295",314,3,13,148,3,"D",314,478,0.66,0.66,0.01,0.03,0.31,0.01
"1341","1296",727,11,73,1041,21,"R",1041,1852,0.56,0.39,0.01,0.04,0.56,0.01
"1342","1297",1314,3,16,43,0,"D",1314,1376,0.95,0.95,0,0.01,0.03,0
"1343","1298",742,11,84,653,18,"D",742,1490,0.5,0.5,0.01,0.06,0.44,0.01
"1344","1300",1507,25,82,1100,15,"D",1507,2714,0.56,0.56,0.01,0.03,0.41,0.01
"1345","1301",1638,23,54,769,1,"D",1638,2484,0.66,0.66,0.01,0.02,0.31,0
"1346","1302",759,13,39,539,0,"D",759,1350,0.56,0.56,0.01,0.03,0.4,0
"1347","1303",54,0,1,6,0,"D",54,61,0.89,0.89,0,0.02,0.1,0
"1348","1304",428,8,16,415,0,"D",428,867,0.49,0.49,0.01,0.02,0.48,0
"1349","1305",465,7,23,348,0,"D",465,843,0.55,0.55,0.01,0.03,0.41,0
"1350","1307",79,1,0,4,0,"D",79,84,0.94,0.94,0.01,0,0.05,0
"1351","1308A",559,12,28,433,0,"D",559,1032,0.54,0.54,0.01,0.03,0.42,0
"1352","1309",131,3,2,28,0,"D",131,164,0.8,0.8,0.02,0.01,0.17,0
"1353","1310",841,13,48,702,0,"D",841,1604,0.52,0.52,0.01,0.03,0.44,0
"1354","1311",1546,19,64,982,3,"D",1546,2611,0.59,0.59,0.01,0.02,0.38,0
"1355","1312",293,5,18,244,0,"D",293,560,0.52,0.52,0.01,0.03,0.44,0
"1356","1313",167,1,0,30,0,"D",167,198,0.84,0.84,0.01,0,0.15,0
"1357","1314",800,11,20,416,0,"D",800,1247,0.64,0.64,0.01,0.02,0.33,0
"1358","1315",3,0,0,4,0,"R",4,7,0.57,0.43,0,0,0.57,0
"1359","1316",319,5,12,109,0,"D",319,445,0.72,0.72,0.01,0.03,0.24,0
"1360","1337",450,12,76,990,20,"R",990,1528,0.65,0.29,0.01,0.05,0.65,0.01
"1361","1339",700,17,108,977,24,"R",977,1802,0.54,0.39,0.01,0.06,0.54,0.01
"1362","1345",93,2,5,119,2,"R",119,219,0.54,0.42,0.01,0.02,0.54,0.01
"1363","1346",504,1,2,18,0,"D",504,525,0.96,0.96,0,0,0.03,0
"1364","1347",1592,15,89,1271,29,"D",1592,2967,0.54,0.54,0.01,0.03,0.43,0.01
"1365","1348",116,1,20,379,3,"R",379,516,0.73,0.22,0,0.04,0.73,0.01
"1366","1352",114,3,6,278,1,"R",278,401,0.69,0.28,0.01,0.01,0.69,0
"1367","1376",1,0,1,3,0,"R",3,5,0.6,0.2,0,0.2,0.6,0
"1368","1377",1233,22,97,1189,31,"D",1233,2541,0.49,0.49,0.01,0.04,0.47,0.01
"1369","1378",1437,19,44,515,10,"D",1437,2015,0.71,0.71,0.01,0.02,0.26,0
"1370","1380",515,11,48,403,6,"D",515,977,0.53,0.53,0.01,0.05,0.41,0.01
"1371","1382",1030,29,35,334,8,"D",1030,1428,0.72,0.72,0.02,0.02,0.23,0.01
"1372","1388",1083,21,56,516,11,"D",1083,1676,0.65,0.65,0.01,0.03,0.31,0.01
"1373","1404",13,0,0,9,0,"D",13,22,0.59,0.59,0,0,0.41,0
"1374","1407",21,0,1,12,0,"D",21,34,0.62,0.62,0,0.03,0.35,0
"1375","1408",61,1,7,19,1,"D",61,88,0.69,0.69,0.01,0.08,0.22,0.01
"1376","1414",16,0,2,6,0,"D",16,24,0.67,0.67,0,0.08,0.25,0
"1377","1415",576,6,13,136,0,"D",576,731,0.79,0.79,0.01,0.02,0.19,0
"1378","1416",35,0,8,44,0,"R",44,87,0.51,0.4,0,0.09,0.51,0
"1379","1423",564,3,60,1268,19,"R",1268,1895,0.67,0.3,0,0.03,0.67,0.01
"1380","1424",2,0,0,6,0,"R",6,8,0.75,0.25,0,0,0.75,0
"1381","1427",3,0,0,2,0,"D",3,5,0.6,0.6,0,0,0.4,0
"1382","1430",2,0,0,1,0,"D",2,3,0.67,0.67,0,0,0.33,0
"1383","1431",269,9,41,840,12,"R",840,1159,0.72,0.23,0.01,0.04,0.72,0.01
"1384","1436",257,5,9,214,3,"D",257,485,0.53,0.53,0.01,0.02,0.44,0.01
"1385","1437",221,3,14,250,4,"R",250,488,0.51,0.45,0.01,0.03,0.51,0.01
"1386","1439",29,2,0,5,0,"D",29,36,0.81,0.81,0.06,0,0.14,0
"1387","1440",808,8,16,221,3,"D",808,1053,0.77,0.77,0.01,0.02,0.21,0
"1388","1441",317,6,14,84,2,"D",317,421,0.75,0.75,0.01,0.03,0.2,0
"1389","1444",33,0,0,7,0,"D",33,40,0.82,0.82,0,0,0.18,0
"1390","1445",19,0,0,6,0,"D",19,25,0.76,0.76,0,0,0.24,0
"1391","1457",0,0,0,2,0,"R",2,2,1,0,0,0,1,0
"1392","1459",788,11,31,272,6,"D",788,1102,0.72,0.72,0.01,0.03,0.25,0.01
"1393","1460",1085,10,41,286,3,"D",1085,1422,0.76,0.76,0.01,0.03,0.2,0
"1394","1463",623,13,34,230,3,"D",623,900,0.69,0.69,0.01,0.04,0.26,0
"1395","1472",11,0,5,26,0,"R",26,42,0.62,0.26,0,0.12,0.62,0
"1396","1473",36,2,2,16,0,"D",36,56,0.64,0.64,0.04,0.04,0.29,0
"1397","1476",49,0,0,24,0,"D",49,73,0.67,0.67,0,0,0.33,0
"1398","1477",466,2,11,65,0,"D",466,544,0.86,0.86,0,0.02,0.12,0
"1399","1479",61,1,3,22,0,"D",61,87,0.7,0.7,0.01,0.03,0.25,0
"1400","1481",170,3,2,44,0,"D",170,219,0.78,0.78,0.01,0.01,0.2,0
"1401","1482",265,3,7,47,0,"D",265,322,0.82,0.82,0.01,0.02,0.15,0
"1402","1489",662,9,42,254,2,"D",662,967,0.68,0.68,0.01,0.04,0.26,0
"1403","1490",225,7,14,99,5,"D",225,345,0.65,0.65,0.02,0.04,0.29,0.01
"1404","1491",1,0,0,2,0,"R",2,3,0.67,0.33,0,0,0.67,0
"1405","1500",794,24,45,428,0,"D",794,1291,0.62,0.62,0.02,0.03,0.33,0
"1406","1501",941,14,73,715,1,"D",941,1743,0.54,0.54,0.01,0.04,0.41,0
"1407","1502",1281,37,84,728,0,"D",1281,2130,0.6,0.6,0.02,0.04,0.34,0
"1408","1503",915,17,29,346,0,"D",915,1307,0.7,0.7,0.01,0.02,0.26,0
"1409","1504",891,14,93,1679,7,"R",1679,2677,0.63,0.33,0.01,0.03,0.63,0
"1410","1515",6,0,1,6,1,"D",6,13,0.46,0.46,0,0.08,0.46,0.08
"1411","1518",331,10,8,97,4,"D",331,446,0.74,0.74,0.02,0.02,0.22,0.01
"1412","1544",2,0,0,0,0,"D",2,2,1,1,0,0,0,0
"1413","1550",22,1,0,2,0,"D",22,25,0.88,0.88,0.04,0,0.08,0
"1414","1559",82,1,3,30,1,"D",82,116,0.71,0.71,0.01,0.03,0.26,0.01
"1415","1576",90,0,0,7,0,"D",90,97,0.93,0.93,0,0,0.07,0
"1416","1577",454,1,7,69,2,"D",454,531,0.85,0.85,0,0.01,0.13,0
"1417","1578",559,9,20,190,7,"D",559,778,0.72,0.72,0.01,0.03,0.24,0.01
"1418","1586",3,0,0,8,0,"R",8,11,0.73,0.27,0,0,0.73,0
"1419","1589",54,3,7,45,1,"D",54,109,0.5,0.5,0.03,0.06,0.41,0.01
"1420","1597",209,3,5,51,0,"D",209,268,0.78,0.78,0.01,0.02,0.19,0
"1421","1603",943,21,59,383,14,"D",943,1406,0.67,0.67,0.01,0.04,0.27,0.01
"1422","1608",338,4,41,205,10,"D",338,588,0.57,0.57,0.01,0.07,0.35,0.02
"1423","1611",8,0,1,4,0,"D",8,13,0.62,0.62,0,0.08,0.31,0
"1424","1617",13,0,0,7,0,"D",13,20,0.65,0.65,0,0,0.35,0
"1425","1619",23,0,0,3,0,"D",23,26,0.88,0.88,0,0,0.12,0
"1426","1621",36,1,0,12,0,"D",36,49,0.73,0.73,0.02,0,0.24,0
"1427","1622",19,0,0,15,0,"D",19,34,0.56,0.56,0,0,0.44,0
"1428","1627",54,0,8,121,2,"R",121,183,0.66,0.3,0,0.04,0.66,0.01
"1429","1631",84,0,4,73,0,"D",84,161,0.52,0.52,0,0.02,0.45,0
"1430","1633",17,1,0,6,0,"D",17,24,0.71,0.71,0.04,0,0.25,0
"1431","1639",1586,15,48,386,11,"D",1586,2035,0.78,0.78,0.01,0.02,0.19,0.01
"1432","1641",1271,17,76,911,12,"D",1271,2275,0.56,0.56,0.01,0.03,0.4,0.01
"1433","1642",914,11,28,361,5,"D",914,1314,0.7,0.7,0.01,0.02,0.27,0
"1434","1652",87,0,0,3,0,"D",87,90,0.97,0.97,0,0,0.03,0
"1435","1676",100,1,7,55,4,"D",100,163,0.61,0.61,0.01,0.04,0.34,0.02
"1436","1677",12,0,1,3,0,"D",12,16,0.75,0.75,0,0.06,0.19,0
"1437","1678",4,0,0,2,0,"D",4,6,0.67,0.67,0,0,0.33,0
"1438","1684",164,3,17,118,5,"D",164,302,0.54,0.54,0.01,0.06,0.39,0.02
"1439","1700",617,17,37,392,0,"D",617,1063,0.58,0.58,0.02,0.03,0.37,0
"1440","1701",568,5,36,464,0,"D",568,1073,0.53,0.53,0,0.03,0.43,0
"1441","1702",843,10,55,586,0,"D",843,1494,0.56,0.56,0.01,0.04,0.39,0
"1442","1703",892,9,41,476,0,"D",892,1418,0.63,0.63,0.01,0.03,0.34,0
"1443","1704",426,7,24,269,0,"D",426,726,0.59,0.59,0.01,0.03,0.37,0
"1444","1705",602,6,46,396,0,"D",602,1050,0.57,0.57,0.01,0.04,0.38,0
"1445","1706",887,17,36,485,0,"D",887,1425,0.62,0.62,0.01,0.03,0.34,0
"1446","1707",210,5,3,54,0,"D",210,272,0.77,0.77,0.02,0.01,0.2,0
"1447","1708",172,6,18,128,0,"D",172,324,0.53,0.53,0.02,0.06,0.4,0
"1448","1709",1341,14,36,380,0,"D",1341,1771,0.76,0.76,0.01,0.02,0.21,0
"1449","1710",643,6,21,62,0,"D",643,732,0.88,0.88,0.01,0.03,0.08,0
"1450","1711",672,12,26,385,0,"D",672,1095,0.61,0.61,0.01,0.02,0.35,0
"1451","1712A",535,11,38,680,0,"R",680,1264,0.54,0.42,0.01,0.03,0.54,0
"1452","1713",227,10,23,327,0,"R",327,587,0.56,0.39,0.02,0.04,0.56,0
"1453","1714",561,10,35,498,0,"D",561,1104,0.51,0.51,0.01,0.03,0.45,0
"1454","1715",487,12,17,238,0,"D",487,754,0.65,0.65,0.02,0.02,0.32,0
"1455","1716",499,17,59,953,0,"R",953,1528,0.62,0.33,0.01,0.04,0.62,0
"1456","1717",1072,14,54,733,0,"D",1072,1873,0.57,0.57,0.01,0.03,0.39,0
"1457","1718",393,11,45,548,0,"R",548,997,0.55,0.39,0.01,0.05,0.55,0
"1458","1719",891,13,43,558,0,"D",891,1505,0.59,0.59,0.01,0.03,0.37,0
"1459","1720",943,26,61,741,0,"D",943,1771,0.53,0.53,0.01,0.03,0.42,0
"1460","1721",623,14,26,704,0,"R",704,1367,0.51,0.46,0.01,0.02,0.51,0
"1461","1722",1002,18,44,496,0,"D",1002,1560,0.64,0.64,0.01,0.03,0.32,0
"1462","1723",68,3,3,35,0,"D",68,109,0.62,0.62,0.03,0.03,0.32,0
"1463","1724",31,0,0,10,0,"D",31,41,0.76,0.76,0,0,0.24,0
"1464","1725",112,3,6,235,0,"R",235,356,0.66,0.31,0.01,0.02,0.66,0
"1465","1726",520,12,40,514,0,"D",520,1086,0.48,0.48,0.01,0.04,0.47,0
"1466","1727",71,2,2,39,0,"D",71,114,0.62,0.62,0.02,0.02,0.34,0
"1467","1728",389,15,17,345,0,"D",389,766,0.51,0.51,0.02,0.02,0.45,0
"1468","1729",511,7,19,265,0,"D",511,802,0.64,0.64,0.01,0.02,0.33,0
"1469","1A3B",136,3,16,320,1,"R",320,475,0.67,0.29,0.01,0.03,0.67,0
"1470","1A5A",237,4,15,483,8,"R",483,739,0.65,0.32,0.01,0.02,0.65,0.01
"1471","1E7C",132,2,18,545,5,"R",545,697,0.78,0.19,0,0.03,0.78,0.01
"1472","2-11",87,1,19,719,1,"R",719,826,0.87,0.11,0,0.02,0.87,0
"1473","2-19A",0,0,0,41,0,"R",41,41,1,0,0,0,1,0
"1474","2-19B",7,0,2,98,0,"R",98,107,0.92,0.07,0,0.02,0.92,0
"1475","2000",1406,27,75,549,14,"D",1406,2057,0.68,0.68,0.01,0.04,0.27,0.01
"1476","2001",1592,32,91,611,15,"D",1592,2326,0.68,0.68,0.01,0.04,0.26,0.01
"1477","2002",2759,47,163,2377,26,"D",2759,5346,0.52,0.52,0.01,0.03,0.44,0
"1478","2003",2823,54,183,2015,31,"D",2823,5075,0.56,0.56,0.01,0.04,0.4,0.01
"1479","2004",2608,40,157,1800,18,"D",2608,4605,0.57,0.57,0.01,0.03,0.39,0
"1480","2005",2543,59,196,3008,40,"R",3008,5806,0.52,0.44,0.01,0.03,0.52,0.01
"1481","2006",1629,29,166,2191,24,"R",2191,4015,0.55,0.41,0.01,0.04,0.55,0.01
"1482","2007",3747,71,290,4063,56,"R",4063,8171,0.5,0.46,0.01,0.04,0.5,0.01
"1483","2008",2106,26,161,2040,31,"D",2106,4333,0.49,0.49,0.01,0.04,0.47,0.01
"1484","2009",2295,49,206,2139,58,"D",2295,4689,0.49,0.49,0.01,0.04,0.46,0.01
"1485","2010",2118,40,182,2668,47,"R",2668,5008,0.53,0.42,0.01,0.04,0.53,0.01
"1486","2011",2706,76,221,2776,38,"R",2776,5779,0.48,0.47,0.01,0.04,0.48,0.01
"1487","2012",1463,20,69,1460,11,"D",1463,3012,0.49,0.49,0.01,0.02,0.48,0
"1488","2013",1270,14,93,1291,14,"R",1291,2668,0.48,0.48,0.01,0.03,0.48,0.01
"1489","2014",1271,32,100,1431,30,"R",1431,2834,0.5,0.45,0.01,0.04,0.5,0.01
"1490","2015",1907,39,90,1542,28,"D",1907,3578,0.53,0.53,0.01,0.03,0.43,0.01
"1491","2016",3737,69,227,3472,28,"D",3737,7505,0.5,0.5,0.01,0.03,0.46,0
"1492","2017",4223,49,262,2941,58,"D",4223,7475,0.56,0.56,0.01,0.04,0.39,0.01
"1493","2018",1438,24,122,1144,15,"D",1438,2728,0.53,0.53,0.01,0.04,0.42,0.01
"1494","2019",1066,14,73,751,3,"D",1066,1904,0.56,0.56,0.01,0.04,0.39,0
"1495","2020",2018,26,131,2096,33,"R",2096,4271,0.49,0.47,0.01,0.03,0.49,0.01
"1496","2020A",322,3,28,643,5,"R",643,996,0.65,0.32,0,0.03,0.65,0.01
"1497","2020B",608,9,52,1206,9,"R",1206,1875,0.64,0.32,0,0.03,0.64,0
"1498","2021",2964,42,207,2885,15,"D",2964,6098,0.49,0.49,0.01,0.03,0.47,0
"1499","2022",2303,51,209,2702,51,"R",2702,5265,0.51,0.44,0.01,0.04,0.51,0.01
"1500","2023",3764,65,191,2092,33,"D",3764,6112,0.62,0.62,0.01,0.03,0.34,0.01
"1501","2024",1551,35,144,1391,17,"D",1551,3121,0.5,0.5,0.01,0.05,0.45,0.01
"1502","2025",2146,39,162,2155,26,"R",2155,4502,0.48,0.48,0.01,0.04,0.48,0.01
"1503","2026",2767,47,253,3772,39,"R",3772,6839,0.55,0.4,0.01,0.04,0.55,0.01
"1504","2027",1930,26,139,2312,17,"R",2312,4407,0.52,0.44,0.01,0.03,0.52,0
"1505","2028",2936,51,236,2970,36,"R",2970,6193,0.48,0.47,0.01,0.04,0.48,0.01
"1506","2029",2248,36,236,3338,26,"R",3338,5858,0.57,0.38,0.01,0.04,0.57,0
"1507","2030",3674,67,235,3143,39,"D",3674,7119,0.52,0.52,0.01,0.03,0.44,0.01
"1508","2031",6605,77,407,3013,36,"D",6605,10102,0.65,0.65,0.01,0.04,0.3,0
"1509","2032",1581,41,163,1266,20,"D",1581,3051,0.52,0.52,0.01,0.05,0.41,0.01
"1510","2033",2967,52,192,2241,26,"D",2967,5452,0.54,0.54,0.01,0.04,0.41,0
"1511","2034",2643,26,91,701,1,"D",2643,3461,0.76,0.76,0.01,0.03,0.2,0
"1512","2035",1159,27,82,516,8,"D",1159,1784,0.65,0.65,0.02,0.05,0.29,0
"1513","2036",2133,33,119,1158,20,"D",2133,3443,0.62,0.62,0.01,0.03,0.34,0.01
"1514","2037",738,12,70,668,15,"D",738,1488,0.5,0.5,0.01,0.05,0.45,0.01
"1515","2038",1607,39,136,1095,13,"D",1607,2877,0.56,0.56,0.01,0.05,0.38,0
"1516","2039",1701,40,138,813,8,"D",1701,2692,0.63,0.63,0.01,0.05,0.3,0
"1517","2040",1499,25,111,848,12,"D",1499,2483,0.6,0.6,0.01,0.04,0.34,0
"1518","2041",2135,38,129,1979,11,"D",2135,4281,0.5,0.5,0.01,0.03,0.46,0
"1519","2042",1729,18,94,1059,4,"D",1729,2900,0.6,0.6,0.01,0.03,0.37,0
"1520","2043",1659,15,79,934,3,"D",1659,2687,0.62,0.62,0.01,0.03,0.35,0
"1521","2044",1066,13,38,493,3,"D",1066,1610,0.66,0.66,0.01,0.02,0.31,0
"1522","2045",1655,30,82,835,10,"D",1655,2602,0.64,0.64,0.01,0.03,0.32,0
"1523","2046",1498,27,82,1019,12,"D",1498,2626,0.57,0.57,0.01,0.03,0.39,0
"1524","2047",1461,28,121,1083,6,"D",1461,2693,0.54,0.54,0.01,0.04,0.4,0
"1525","2048",1754,36,112,1065,6,"D",1754,2967,0.59,0.59,0.01,0.04,0.36,0
"1526","2049",1531,31,75,926,17,"D",1531,2563,0.6,0.6,0.01,0.03,0.36,0.01
"1527","2050",3044,43,78,930,15,"D",3044,4095,0.74,0.74,0.01,0.02,0.23,0
"1528","2051",2370,29,128,977,4,"D",2370,3504,0.68,0.68,0.01,0.04,0.28,0
"1529","2052",2820,34,137,1261,14,"D",2820,4252,0.66,0.66,0.01,0.03,0.3,0
"1530","2053",1351,23,61,498,4,"D",1351,1933,0.7,0.7,0.01,0.03,0.26,0
"1531","2054",1888,41,87,599,13,"D",1888,2615,0.72,0.72,0.02,0.03,0.23,0
"1532","2055",2506,43,143,1262,15,"D",2506,3954,0.63,0.63,0.01,0.04,0.32,0
"1533","2056",1156,14,66,803,4,"D",1156,2039,0.57,0.57,0.01,0.03,0.39,0
"1534","2057",884,9,47,408,11,"D",884,1348,0.66,0.66,0.01,0.03,0.3,0.01
"1535","2058",1134,21,58,595,6,"D",1134,1808,0.63,0.63,0.01,0.03,0.33,0
"1536","2059",2424,34,76,833,11,"D",2424,3367,0.72,0.72,0.01,0.02,0.25,0
"1537","2060",2704,36,136,1651,10,"D",2704,4527,0.6,0.6,0.01,0.03,0.36,0
"1538","2061",3441,54,245,3118,36,"D",3441,6858,0.5,0.5,0.01,0.04,0.45,0.01
"1539","2062",1130,12,102,959,9,"D",1130,2203,0.51,0.51,0.01,0.05,0.44,0
"1540","2063",588,9,59,951,19,"R",951,1607,0.59,0.37,0.01,0.04,0.59,0.01
"1541","2064",1506,22,118,992,18,"D",1506,2638,0.57,0.57,0.01,0.04,0.38,0.01
"1542","2065",3110,72,248,1932,68,"D",3110,5362,0.58,0.58,0.01,0.05,0.36,0.01
"1543","2066",3619,48,167,2223,52,"D",3619,6057,0.6,0.6,0.01,0.03,0.37,0.01
"1544","2067",578,7,55,415,1,"D",578,1055,0.55,0.55,0.01,0.05,0.39,0
"1545","2068",2235,44,165,1656,29,"D",2235,4100,0.55,0.55,0.01,0.04,0.4,0.01
"1546","2069",1992,32,162,1390,11,"D",1992,3576,0.56,0.56,0.01,0.05,0.39,0
"1547","2070",1765,25,86,826,9,"D",1765,2702,0.65,0.65,0.01,0.03,0.31,0
"1548","2071",1012,11,93,688,2,"D",1012,1804,0.56,0.56,0.01,0.05,0.38,0
"1549","2072",2208,45,203,1535,35,"D",2208,3991,0.55,0.55,0.01,0.05,0.38,0.01
"1550","2073",854,23,50,449,7,"D",854,1376,0.62,0.62,0.02,0.04,0.33,0.01
"1551","2074",506,4,10,162,1,"D",506,682,0.74,0.74,0.01,0.01,0.24,0
"1552","2075",1220,7,15,125,1,"D",1220,1367,0.89,0.89,0.01,0.01,0.09,0
"1553","2076",720,21,54,603,27,"D",720,1398,0.52,0.52,0.02,0.04,0.43,0.02
"1554","2077",2213,32,93,1123,23,"D",2213,3461,0.64,0.64,0.01,0.03,0.32,0.01
"1555","2078",1023,22,51,521,13,"D",1023,1617,0.63,0.63,0.01,0.03,0.32,0.01
"1556","2079",951,12,40,239,0,"D",951,1242,0.77,0.77,0.01,0.03,0.19,0
"1557","207C",37,0,6,342,0,"R",342,385,0.89,0.1,0,0.02,0.89,0
"1558","2080",717,17,102,1885,54,"R",1885,2721,0.69,0.26,0.01,0.04,0.69,0.02
"1559","2081",841,12,20,342,3,"D",841,1215,0.69,0.69,0.01,0.02,0.28,0
"1560","2082",461,16,22,214,5,"D",461,713,0.65,0.65,0.02,0.03,0.3,0.01
"1561","2083",307,3,19,89,8,"D",307,418,0.73,0.73,0.01,0.05,0.21,0.02
"1562","2084",944,26,94,1173,32,"R",1173,2237,0.52,0.42,0.01,0.04,0.52,0.01
"1563","2085",524,11,13,177,10,"D",524,725,0.72,0.72,0.02,0.02,0.24,0.01
"1564","2086",1018,34,80,793,32,"D",1018,1925,0.53,0.53,0.02,0.04,0.41,0.02
"1565","2087",553,16,44,508,21,"D",553,1121,0.49,0.49,0.01,0.04,0.45,0.02
"1566","2088",2354,40,134,1219,37,"D",2354,3747,0.63,0.63,0.01,0.04,0.33,0.01
"1567","2089",979,11,7,69,3,"D",979,1066,0.92,0.92,0.01,0.01,0.06,0
"1568","2090",867,12,35,523,20,"D",867,1437,0.6,0.6,0.01,0.02,0.36,0.01
"1569","2091",1245,28,98,525,27,"D",1245,1896,0.66,0.66,0.01,0.05,0.28,0.01
"1570","2092",477,12,23,295,3,"D",477,807,0.59,0.59,0.01,0.03,0.37,0
"1571","2093",477,9,29,294,10,"D",477,809,0.59,0.59,0.01,0.04,0.36,0.01
"1572","2094",63,1,7,78,2,"R",78,149,0.52,0.42,0.01,0.05,0.52,0.01
"1573","2095",725,14,71,1032,41,"R",1032,1842,0.56,0.39,0.01,0.04,0.56,0.02
"1574","2096",1660,55,110,779,37,"D",1660,2604,0.64,0.64,0.02,0.04,0.3,0.01
"1575","2097",776,16,60,465,18,"D",776,1317,0.59,0.59,0.01,0.05,0.35,0.01
"1576","2098",417,17,40,226,5,"D",417,700,0.6,0.6,0.02,0.06,0.32,0.01
"1577","2099",1829,37,80,974,16,"D",1829,2920,0.63,0.63,0.01,0.03,0.33,0.01
"1578","2100",1543,27,56,771,22,"D",1543,2397,0.64,0.64,0.01,0.02,0.32,0.01
"1579","2101",2889,41,180,1851,63,"D",2889,4961,0.58,0.58,0.01,0.04,0.37,0.01
"1580","2102",833,23,51,698,22,"D",833,1605,0.52,0.52,0.01,0.03,0.43,0.01
"1581","2103",98,2,2,10,1,"D",98,112,0.88,0.88,0.02,0.02,0.09,0.01
"1582","2104",103,2,6,14,0,"D",103,125,0.82,0.82,0.02,0.05,0.11,0
"1583","2105",141,3,12,100,1,"D",141,256,0.55,0.55,0.01,0.05,0.39,0
"1584","2106",1810,26,43,591,12,"D",1810,2470,0.73,0.73,0.01,0.02,0.24,0
"1585","2107",127,2,4,77,3,"D",127,210,0.6,0.6,0.01,0.02,0.37,0.01
"1586","2108",2634,24,91,1153,35,"D",2634,3902,0.68,0.68,0.01,0.02,0.3,0.01
"1587","2110",404,9,21,301,12,"D",404,735,0.55,0.55,0.01,0.03,0.41,0.02
"1588","2111",353,12,10,170,2,"D",353,545,0.65,0.65,0.02,0.02,0.31,0
"1589","2112",1077,23,79,1394,34,"R",1394,2573,0.54,0.42,0.01,0.03,0.54,0.01
"1590","2113",16,0,2,15,0,"D",16,33,0.48,0.48,0,0.06,0.45,0
"1591","2114",733,13,42,370,12,"D",733,1158,0.63,0.63,0.01,0.04,0.32,0.01
"1592","2115",1476,20,77,1089,39,"D",1476,2662,0.55,0.55,0.01,0.03,0.41,0.01
"1593","2116",1301,9,12,68,0,"D",1301,1390,0.94,0.94,0.01,0.01,0.05,0
"1594","2117",220,6,1,51,1,"D",220,278,0.79,0.79,0.02,0,0.18,0
"1595","2118",14,0,0,1,0,"D",14,15,0.93,0.93,0,0,0.07,0
"1596","2119",120,2,4,30,2,"D",120,156,0.77,0.77,0.01,0.03,0.19,0.01
"1597","2120",41,1,1,17,0,"D",41,60,0.68,0.68,0.02,0.02,0.28,0
"1598","2120A",438,8,68,2019,41,"R",2019,2533,0.8,0.17,0,0.03,0.8,0.02
"1599","2120B",5,0,1,24,0,"R",24,30,0.8,0.17,0,0.03,0.8,0
"1600","2121",162,8,7,102,1,"D",162,279,0.58,0.58,0.03,0.03,0.37,0
"1601","2122",494,7,36,184,11,"D",494,721,0.69,0.69,0.01,0.05,0.26,0.02
"1602","2123",1591,20,48,607,29,"D",1591,2266,0.7,0.7,0.01,0.02,0.27,0.01
"1603","2124",232,5,11,154,4,"D",232,402,0.58,0.58,0.01,0.03,0.38,0.01
"1604","2125",1324,27,115,1107,57,"D",1324,2573,0.51,0.51,0.01,0.04,0.43,0.02
"1605","2126",446,10,21,283,6,"D",446,760,0.59,0.59,0.01,0.03,0.37,0.01
